Run,File,Energy_pkg_Joules,Energy_psys_Joules,Time_elapsed_seconds,Memory_used_kb
1,SVM.py,21.61,31.13,0:00.64,114588
2,SVM.py,20.73,29.98,0:00.62,114976
3,SVM.py,19.40,28.14,0:00.59,114888
4,SVM.py,22.49,32.79,0:00.70,114932
5,SVM.py,20.76,30.32,0:00.65,114812
6,SVM.py,18.98,27.72,0:00.59,114720
7,SVM.py,21.30,31.26,0:00.68,115228
8,SVM.py,20.65,30.79,0:00.69,114820
9,SVM.py,19.68,29.10,0:00.65,114632
10,SVM.py,20.38,30.43,0:00.70,114796
11,SVM.py,19.44,28.93,0:00.66,114896
12,SVM.py,19.50,28.78,0:00.64,115164
13,SVM.py,22.50,32.96,0:00.71,114836
14,SVM.py,18.68,28.14,0:00.66,114960
15,SVM.py,21.05,31.47,0:00.73,115136
16,SVM.py,20.11,30.31,0:00.72,114960
17,SVM.py,18.66,28.63,0:00.71,114396
18,SVM.py,18.90,29.07,0:00.73,114708
19,SVM.py,20.34,31.23,0:00.77,114508
20,SVM.py,20.04,30.30,0:00.71,114988
21,SVM.py,18.72,28.22,0:00.70,114932
22,SVM.py,19.29,28.30,0:00.71,114924
23,SVM.py,18.86,27.45,0:00.74,114980
24,SVM.py,18.68,27.42,0:00.76,114872
25,SVM.py,18.01,26.56,0:00.74,115116
26,SVM.py,17.46,25.33,0:00.67,114512
27,SVM.py,19.33,28.26,0:00.77,114476
28,SVM.py,19.82,28.63,0:00.74,114916
29,SVM.py,19.98,29.33,0:00.80,114788
30,SVM.py,19.12,28.20,0:00.78,114468
31,SVM.py,16.69,24.94,0:00.71,115012
32,SVM.py,18.23,27.04,0:00.77,114668
33,SVM.py,19.45,28.25,0:00.75,115244
34,SVM.py,18.11,27.00,0:00.77,115028
35,SVM.py,19.38,28.34,0:00.75,115036
36,SVM.py,18.24,27.18,0:00.78,114620
37,SVM.py,16.04,24.45,0:00.74,114932
38,SVM.py,17.68,26.44,0:00.75,114740
39,SVM.py,17.89,26.32,0:00.72,114380
40,SVM.py,18.23,26.95,0:00.75,114924
41,SVM.py,17.58,26.13,0:00.73,114480
42,SVM.py,17.56,26.26,0:00.75,114864
43,SVM.py,17.91,27.01,0:00.79,114680
44,SVM.py,15.97,23.74,0:00.67,114976
45,SVM.py,17.69,26.86,0:00.80,114984
46,SVM.py,17.32,25.70,0:00.72,115316
47,SVM.py,16.05,24.38,0:00.72,114392
48,SVM.py,15.22,23.19,0:00.70,115068
49,SVM.py,16.69,24.86,0:00.70,114356
50,SVM.py,18.44,27.40,0:00.77,114504
1,RF.py,23.90,35.80,0:01.00,123744
2,RF.py,24.83,36.65,0:00.99,123660
3,RF.py,23.07,34.32,0:00.97,123572
4,RF.py,24.49,36.16,0:01.00,124196
5,RF.py,23.87,35.98,0:01.05,124316
6,RF.py,24.65,36.31,0:00.99,123944
7,RF.py,24.38,36.07,0:00.99,123604
8,RF.py,23.11,34.92,0:01.04,123756
9,RF.py,24.43,36.91,0:01.08,123944
10,RF.py,24.47,36.77,0:01.06,123896
11,RF.py,24.42,36.03,0:00.98,123728
12,RF.py,23.12,34.90,0:01.01,123992
13,RF.py,25.10,37.20,0:01.03,123868
14,RF.py,24.79,36.86,0:01.04,124012
15,RF.py,22.88,34.41,0:01.00,124356
16,RF.py,22.69,34.46,0:01.03,123892
17,RF.py,20.43,33.89,0:01.25,123948
18,RF.py,21.44,35.51,0:01.32,123028
19,RF.py,19.02,31.45,0:01.16,123984
