Algorithm,Metric,Python,R
KMC,Energy_pkg_Joules,1.0,1.8819700528864451
KMC,Energy_psys_Joules,1.0,1.84142566943675
KMC,Time_elapsed_seconds,1.0,1.9400367122170101
KMC,Memory_used_kb,1.0,1.6392030470265069
KNN,Energy_pkg_Joules,1.0,2.0098235729635046
KNN,Energy_psys_Joules,1.0,2.0146622517897463
KNN,Time_elapsed_seconds,1.0,2.0807551127425272
KNN,Memory_used_kb,1.0,1.943259738050689
LR,Energy_pkg_Joules,1.0,1.8112051612257911
LR,Energy_psys_Joules,1.0,1.8665581292089097
LR,Time_elapsed_seconds,1.0,2.1660124682521356
LR,Memory_used_kb,1.0,1.8761639529976233
NB,Energy_pkg_Joules,1.0,1.566766263947228
NB,Energy_psys_Joules,1.0,1.6387418383368655
NB,Time_elapsed_seconds,1.0,1.7356552801964729
NB,Memory_used_kb,1.0,2.078697059144594
RF,Energy_pkg_Joules,1.0,1.042455622691863
RF,Energy_psys_Joules,1.0,1.1797710507429673
RF,Time_elapsed_seconds,1.0,1.366701066391469
RF,Memory_used_kb,1.0,1.8449009747210585
SVM,Energy_pkg_Joules,1.0,1.2506138605478179
SVM,Energy_psys_Joules,1.0,1.4841041081034803
SVM,Time_elapsed_seconds,1.0,2.13268156424581
SVM,Memory_used_kb,1.0,1.9846831600457888
